DMNNM,DMNCD,INDNM,INDCD,PRIMARY_SECONDARY,BSLN,TRGT,DOMAIN_NARRATIVE,INDICATOR_NARRATIVE
Build and protect soil,BLDSOL,Bare soil index for Glasgow local authority,BLDSOL1,,,,,
Build and protect soil,BLDSOL,Percentage of Glasgow local authority classified as Vacant and Derelict Land (VDL),BLDSOL2,,,,,
Cleanse the air,CLAIR,Levels of annual concentration of PM2.5 in Glasgow’s air,CLAIR1A,,,,,
Cleanse the air,CLAIR,Levels of annual concentration of PM10 in Glasgow’s air,CLAIR1B,,,,,
Cleanse the air,CLAIR,Levels of annual concentration of NO2 in Glasgow’s air,CLAIR1C,,,,,
Cleanse the air,CLAIR,Population-weighted annual mean PM2.5 concentration in Glasgow's air,CLAIR2,,,,,
Community,COMM,Percentage of adults in Glasgow who engage in a volunteering work,COMM1,,,,,
Community,COMM,Percentage of people who rate their neighbourhood as very good or fairly good,COMM2,,,,,
Community,COMM,Percentage of people satisfied with local community centres,COMM3,,,,,
Connectivity,CONN,Percentage of households that do not have internet access at home,CONN1,,,,,
Culture,CULT,Percentage of adults in Glasgow who engage in cultural events,CULT1,,,,,
Culture,CULT,Percentage of Glasgow residents who are satisfied with museums,CULT2A,,,,,
Culture,CULT,Percentage of Glasgow residents who are satisfied with libraries,CULT2B,,,,,
Culture,CULT,Percentage of Glasgow residents who are satisfied with theatres,CULT2C,,,,,
Culture,CULT,Percentage of Glasgow residents satisfied with sports and leisure centres,CULT3,,,,,
Cycle water,CYWAT,Percentage of surface waters in Glasgow City that have at least good water quality,CYWAT1,,,,,
Cycle water,CYWAT,Percentage of surface waters in Glasgow City assessed as having at least ‘good’ overall status,CYWAT2,,,,,
Cycle water,CYWAT,Percentage of groundwaters in Glasgow City assessed as having at least 'good' status,CYWAT3,,,,,
Education,EDU,Percentage of Datazones where the average of the highest SCQF level for school leavers was greater than 5 (equivalent to Nat 5),EDU1,,,,,
Education,EDU,Percentage of Glasgow residents satisfied with primary schools,EDU2,,,,,
Education,EDU,Percentage of Glasgow residents satisfied with secondary schools,EDU3,,,,,
Education,EDU,Positive destinations of school leavers in Glasgow,EDU4,,,,,
Energy,ENER,Percentage of households that spend more than 10% of their income on household fuel to maintain a satisfactory heating regime,ENER1,,,,,
Energy,ENER,Percentage of people who consider the cost and gas and electricity as their 2 or 3 biggest financial concerns for their household,ENER2,,,,,
Energy,ENER,Percentage of homes with electric or communal heating in Glasgow,ENER3,,,,,
Enhance wellbeing,WELL,Proportion of publicly accessible greenspaces,WELL1,,,,,
Enhance wellbeing,WELL,Percentage of households that are within 10 minutes walk to green or blue spaces,WELL2,,,,,
Food,FOOD,Percentage of people who experienced any event of food insecurity over the last 12 months,FOOD1,,,,Shared Domain text for the Food domain,Indicator Narrative Text for the first Food indicator
Food,FOOD,Percentage of people who consider food cost among the two or three biggest financial concerns for their household,FOOD2,,,,,Indicator narrative for the second Food indicator
Food,FOOD,Percentage of people who were unable to eat healthy and nutritious food because of a lack of money or other resources in the last 12 months,FOOD3,,,,,Indicator narrative for the third Food indicator
Harvest Energy,HVEN,Amount of energy generated by renewable sources in Glasgow,HVEN1,,,,,
Harvest Energy,HVEN,Number of renewable electricity generation sites in Glasgow,HVEN2,,,,,
Harvest Energy,HVEN,Level of installed renewable electricity capacity in Glasgow,HVEN3,,,,,
Health,HLTH,Percentage of people with a positive perception of local NHS GP/Doctor services,HLTH1,,,,,
Health,HLTH,Percentage of people in Glasgow with a positive view of their physical wellbeing,HLTH2,,,,,
Health,HLTH,Gap in the percentage of people with a positive view of their physical wellbeing between the bottom 15% deprived areas and other areas in Glasgow,HLTH3,,,,,
Health,HLTH,Percentage of people in Glasgow with a positive view of their mental/emotional wellbeing,HLTH4,,,,,
Health,HLTH,Gap in the percentage of people with a positive view of their mental/emotional wellbeing between the bottom 15% deprived areas and other areas in Glasgow,HLTH5,,,,,
Health,HLTH,Healthy life expectancy at birth in Glasgow ,HLTH6,,,,,
House biodiversity,BIODIV,Percentage of conservation areas,BIODIV1,,,,,
House biodiversity,BIODIV,Percentage of the Clyde's protected nature sites that are in a favourable condition,BIODIV2,,,,,
Housing,HOUS,Percentage of households that are satisfied with housing,HOUS1,,,,,
Housing,HOUS,Percentage of people who consider rent cost among the 2-3 biggest financial concern for their household,HOUS2,,,,,
Housing,HOUS,Percentage of homes with an EPC band at B/C or above,HOUS3,,,,,
Income & work,INCWK,Percentage of households in Glasgow that financially manage well,INCWK1,,,,,
Income & work,INCWK,Percentage of children living in relative low-income families,INCWK2,,,,,
Income & work,INCWK,Unemployment rate in Glasgow,INCWK3,,,,,
Mobility,MOB,Percentage of journeys where main mode of travel is active travel or public transport,MOB1,,,,,
Mobility,MOB,Satisfaction with public transport,MOB2,,,,,
Mobility,MOB,Household access to a bike,MOB3,,,,,
Peace & justice,PEACE,Percentage of adults in Glasgow who feel safe when walking at night,PEACE1,,,,,
Peace & justice,PEACE,"Crimes in Glasgow per 10,000 population",PEACE2,,,,,
Political voice,POLV,Voting turnout for the local authority elections,POLV1,,,,,
Political voice,POLV,Percentage of people who feel that they can influence decisions affecting their local area,POLV2,,,,,
Regulate the temperature,REGTMP,Tree canopy coverage,REGTMP1,,,,,
Regulate the temperature,REGTMP,Ratio of urban to  greenspaces,REGTMP2,,,,,
Regulate the temperature,REGTMP,Ratio of urban to  blue spaces,REGTMP3,,,,,
Regulate the temperature,REGTMP,Ratio of urban to natural spaces,REGTMP4,,,,,
Social equity,SOCEQ,Gap in the percentage of people who experienced any event of food insecurity over the last 12 months between the bottom 15% deprived and other areas of Glasgow,SOCEQ1,,,,,
Social equity,SOCEQ,Gap in the percentage of people with a positive perception of local NHS GP/Doctor services between the bottom 15% deprived areas and other areas in Glasgow,SOCEQ2,,,,,
Social equity,SOCEQ,Positive destinations of school leavers in deprived areas,SOCEQ3,,,,,
Store Carbon,STCRBN,Tree canopy coverage,STCRBN1,,,,,Glasgow also known as the "Dear Green Place" has an above-average coverage of trees and small shrub planting throughout its urban corridors although some of this is currently degraded or in poor condition. Future urban greening should take into account longevity of species and selection suitable for Glasgow's changing climate
Store Carbon,STCRBN,Percentage of peatlands that are intact or restored,STCRBN2,,,,Test Narrative Text 2 for the Store Carbon domain (Ind 2),Peatlands that are degraded or damage have the potential to become net carbon sources instead of sinks. Restoration of peatland ensures that Carbon is stored in the ground and also supports habitat growth
Store Carbon,STCRBN,Total amount of carbon sequestrated in Glasgow,STCRBN3,,,,Test Narrative Text for the Store Carbon domain,Glasgow's main mechanisms for carbon sequestration are in tree coverage and undeveloped land. Numerous surveys have been carried out that highlight increased tree planting over the last decade while numerous vacant sites continue to seguestrate carbon in the inner city
